"group";"year";"week";"value"
"85P";2020;5;1793
"85P";2020;6;662
"85P";2020;7;758
"85P";2020;8;-705
"85P";2020;9;138
"85P";2020;10;641
"85P";2020;11;1533
"85P";2020;12;4615
"85P";2020;13;10704
"85P";2020;14;18305
"85P";2020;15;18305
"85P";2020;16;13784
"85P";2020;17;8883
"85P";2020;18;4868
"85P";2020;19;3114
"85P";2020;20;752
"85P";2020;21;1322
"85P";2020;22;-148
"85P";2020;23;-81
"85P";2020;24;-609
"85P";2020;25;-469
"85P";2020;26;1068
"85P";2020;27;143
"85P";2020;28;78
"85P";2020;29;492
"85P";2020;30;1018
"85P";2020;31;2408
"85P";2020;32;2018
"85P";2020;33;4290
"85P";2020;34;1737
"85P";2020;35;494
"85P";2020;36;500
"85P";2020;37;1068
"85P";2020;38;1892
"85P";2020;39;349
"85P";2020;40;1437
"85P";2020;41;1217
"85P";2020;42;1702
"85P";2020;43;4296
"85P";2020;44;5386
"85P";2020;45;6863
"85P";2020;46;7434
"85P";2020;47;7051
"85P";2020;48;6898
"85P";2020;49;7552
"85P";2020;50;8336
"85P";2020;51;8163
"85P";2020;52;8088
"85P";2021;0;0
"85P";2021;1;10134
"85P";2021;2;11535
"85P";2021;3;12437
"85P";2021;4;10187
"85P";2021;5;6197
"85P";2021;6;3683
"85P";2021;7;2410
"85P";2021;8;-269
"85P";2021;9;-1922
"85P";2021;10;-1147
"85P";2021;11;-1345
"85P";2021;12;-1183
"85P";2021;13;-979
"85P";2021;14;-632
"85P";2021;15;-459
"85P";2021;16;-101
"85P";2021;17;-147
"85P";2021;18;120
"85P";2021;19;-644
"85P";2021;20;-1147
"85P";2021;21;-818
"85P";2021;22;-101
"85P";2021;23;-598
"85P";2021;24;911
"85P";2021;25;-6
"85P";2021;26;504
"85P";2021;27;880
"85P";2021;28;1253
"85P";2021;29;2508
"85P";2021;30;1871
"85P";2021;31;2714
"85P";2021;32;3499
"85P";2021;33;2785
"85P";2021;34;1704
"85P";2021;35;1624
"85P";2021;36;3140
"85P";2021;37;1502
"85P";2021;38;730
"85P";2021;39;993
"85P";2021;40;853
"85P";2021;41;1515
"85P";2021;42;2298
"85P";2021;43;2716
"85P";2021;44;2382
"85P";2021;45;3311
"85P";2021;46;3149
"85P";2021;47;2616
"85P";2021;48;1532
