"group";"year";"week";"value"
"0to14";2020;24;-26
"0to14";2020;25;-11
"0to14";2020;26;6
"0to14";2020;27;-27
"0to14";2020;28;-30
"0to14";2020;29;-18
"0to14";2020;30;41
"0to14";2020;31;-2
"0to14";2020;32;-32
"0to14";2020;33;12
"0to14";2020;34;-31
"0to14";2020;35;-27
"0to14";2020;36;-26
"0to14";2020;37;2
"0to14";2020;38;7
"0to14";2020;39;11
"0to14";2020;40;-36
"0to14";2020;41;-9
"0to14";2020;42;-55
"0to14";2020;43;-15
"0to14";2020;44;-53
"0to14";2020;45;1
"0to14";2020;46;-22
"0to14";2020;47;-32
"0to14";2020;48;-31
"0to14";2020;49;-5
"0to14";2020;50;-23
"0to14";2020;51;-7
"0to14";2020;52;-29
"0to14";2021;0;0
"0to14";2021;1;-34
"0to14";2021;2;-34
"0to14";2021;3;-31
"0to14";2021;4;5
"0to14";2021;5;-22
"0to14";2021;6;-6
"0to14";2021;7;-24
"0to14";2021;8;-41
"0to14";2021;9;31
"0to14";2021;10;-39
"0to14";2021;11;11
"0to14";2021;12;-10
"0to14";2021;13;7
"0to14";2021;14;-46
"0to14";2021;15;-6
"0to14";2021;16;-30
"0to14";2021;17;12
"0to14";2021;18;0
"0to14";2021;19;12
"0to14";2021;20;4
"0to14";2021;21;-16
"0to14";2021;22;20
"0to14";2021;23;10
"0to14";2021;24;9
"0to14";2021;25;19
"0to14";2021;26;36
"0to14";2021;27;22
"0to14";2021;28;18
"0to14";2021;29;17
"0to14";2021;30;38
"0to14";2021;31;18
"0to14";2021;32;29
"0to14";2021;33;-2
"0to14";2021;34;3
"0to14";2021;35;9
"0to14";2021;36;9
"0to14";2021;37;14
"0to14";2021;38;33
"0to14";2021;39;46
"0to14";2021;40;28
"0to14";2021;41;8
"0to14";2021;42;29
"0to14";2021;43;36
"0to14";2021;44;41
"0to14";2021;45;28
"0to14";2021;46;39
"0to14";2021;47;23
"0to14";2021;48;11
"15to44";2019;0;0
"15to44";2019;1;135
"15to44";2019;2;154
"15to44";2019;3;72
"15to44";2019;4;24
"15to44";2019;5;65
"15to44";2019;6;98
"15to44";2019;7;95
"15to44";2019;8;38
"15to44";2019;9;-47
"15to44";2019;10;71
"15to44";2019;11;-55
"15to44";2019;12;-49
"15to44";2019;13;-26
"15to44";2019;14;-10
"15to44";2019;15;20
"15to44";2019;16;-13
"15to44";2019;17;-81
"15to44";2019;18;-40
"15to44";2019;19;-29
"15to44";2019;20;-15
"15to44";2019;21;-11
"15to44";2019;22;-33
"15to44";2019;23;21
"15to44";2019;24;-49
"15to44";2019;25;53
"15to44";2019;26;120
"15to44";2019;27;77
"15to44";2019;28;-38
"15to44";2019;29;3
"15to44";2019;30;101
"15to44";2019;31;11
"15to44";2019;32;19
"15to44";2019;33;0
"15to44";2019;34;-17
"15to44";2019;35;50
"15to44";2019;36;-12
"15to44";2019;37;27
"15to44";2019;38;-4
"15to44";2019;39;-10
"15to44";2019;40;-16
"15to44";2019;41;63
"15to44";2019;42;-35
"15to44";2019;43;84
"15to44";2019;44;-25
"15to44";2019;45;-16
"15to44";2019;46;1
"15to44";2019;47;0
"15to44";2019;48;-30
"15to44";2019;49;22
"15to44";2019;50;8
"15to44";2019;51;12
"15to44";2019;52;-8
"15to44";2020;0;0
"15to44";2020;1;175
"15to44";2020;2;106
"15to44";2020;3;33
"15to44";2020;4;-21
"15to44";2020;5;168
"15to44";2020;6;-44
"15to44";2020;7;73
"15to44";2020;8;0
"15to44";2020;9;65
"15to44";2020;10;82
"15to44";2020;11;91
"15to44";2020;12;34
"15to44";2020;13;147
"15to44";2020;14;140
"15to44";2020;15;213
"15to44";2020;16;77
"15to44";2020;17;42
"15to44";2020;18;-41
"15to44";2020;19;-49
"15to44";2020;20;64
"15to44";2020;21;-28
"15to44";2020;22;57
"15to44";2020;23;-14
"15to44";2020;24;51
"15to44";2020;25;46
"15to44";2020;26;45
"15to44";2020;27;28
"15to44";2020;28;-25
"15to44";2020;29;3
"15to44";2020;30;0
"15to44";2020;31;116
"15to44";2020;32;104
"15to44";2020;33;156
"15to44";2020;34;61
"15to44";2020;35;23
"15to44";2020;36;55
"15to44";2020;37;97
"15to44";2020;38;77
"15to44";2020;39;20
"15to44";2020;40;7
"15to44";2020;41;63
"15to44";2020;42;-41
"15to44";2020;43;127
"15to44";2020;44;63
"15to44";2020;45;4
"15to44";2020;46;1
"15to44";2020;47;45
"15to44";2020;48;-1
"15to44";2020;49;212
"15to44";2020;50;141
"15to44";2020;51;58
"15to44";2020;52;65
"15to44";2021;0;0
"15to44";2021;1;137
"15to44";2021;2;156
"15to44";2021;3;204
"15to44";2021;4;178
"15to44";2021;5;149
"15to44";2021;6;28
"15to44";2021;7;32
"15to44";2021;8;-1
"15to44";2021;9;17
"15to44";2021;10;35
"15to44";2021;11;44
"15to44";2021;12;51
"15to44";2021;13;138
"15to44";2021;14;125
"15to44";2021;15;115
"15to44";2021;16;88
"15to44";2021;17;67
"15to44";2021;18;146
"15to44";2021;19;26
"15to44";2021;20;39
"15to44";2021;21;12
"15to44";2021;22;73
"15to44";2021;23;17
"15to44";2021;24;165
"15to44";2021;25;131
"15to44";2021;26;91
"15to44";2021;27;130
"15to44";2021;28;193
"15to44";2021;29;226
"15to44";2021;30;207
"15to44";2021;31;121
"15to44";2021;32;194
"15to44";2021;33;116
"15to44";2021;34;102
"15to44";2021;35;134
"15to44";2021;36;215
"15to44";2021;37;228
"15to44";2021;38;179
"15to44";2021;39;186
"15to44";2021;40;123
"15to44";2021;41;79
"15to44";2021;42;169
"15to44";2021;43;79
"15to44";2021;44;120
"15to44";2021;45;269
"15to44";2021;46;147
"15to44";2021;47;178
"15to44";2021;48;-19
"45to64";2019;0;0
"45to64";2019;1;694
"45to64";2019;2;721
"45to64";2019;3;599
"45to64";2019;4;820
"45to64";2019;5;919
"45to64";2019;6;724
"45to64";2019;7;801
"45to64";2019;8;429
"45to64";2019;9;619
"45to64";2019;10;461
"45to64";2019;11;83
"45to64";2019;12;31
"45to64";2019;13;-111
"45to64";2019;14;-8
"45to64";2019;15;-190
"45to64";2019;16;48
"45to64";2019;17;56
"45to64";2019;18;-158
"45to64";2019;19;-112
"45to64";2019;20;-50
"45to64";2019;21;-125
"45to64";2019;22;-34
"45to64";2019;23;-29
"45to64";2019;24;89
"45to64";2019;25;149
"45to64";2019;26;271
"45to64";2019;27;317
"45to64";2019;28;-212
"45to64";2019;29;186
"45to64";2019;30;269
"45to64";2019;31;-49
"45to64";2019;32;-115
"45to64";2019;33;-371
"45to64";2019;34;-218
"45to64";2019;35;103
"45to64";2019;36;-149
"45to64";2019;37;-216
"45to64";2019;38;42
"45to64";2019;39;128
"45to64";2019;40;6
"45to64";2019;41;87
"45to64";2019;42;-76
"45to64";2019;43;-79
"45to64";2019;44;-37
"45to64";2019;45;265
"45to64";2019;46;71
"45to64";2019;47;-44
"45to64";2019;48;43
"45to64";2019;49;383
"45to64";2019;50;221
"45to64";2019;51;429
"45to64";2019;52;66
"45to64";2020;0;0
"45to64";2020;1;396
"45to64";2020;2;487
"45to64";2020;3;448
"45to64";2020;4;157
"45to64";2020;5;437
"45to64";2020;6;284
"45to64";2020;7;208
"45to64";2020;8;71
"45to64";2020;9;172
